Series Name,Series Code,Country Name,Country Code,2020 [YR2020]
"Population, total",SP.POP.TOTL,Canada,CAN,38005238
"Population, total",SP.POP.TOTL,Caribbean small states,CSS,7442291
"Population, total",SP.POP.TOTL,Cayman Islands,CYM,65720
"Population, total",SP.POP.TOTL,Central African Republic,CAF,4829764
"Population, total",SP.POP.TOTL,Central Europe and the Baltics,CEB,102246330
"Population, total",SP.POP.TOTL,Chad,TCD,16425859
"Population, total",SP.POP.TOTL,Channel Islands,CHI,173859
"Population, total",SP.POP.TOTL,Chile,CHL,19116209
"Population, total",SP.POP.TOTL,China,CHN,1402112000
"Population, total",SP.POP.TOTL,Colombia,COL,50882884
"Population, total",SP.POP.TOTL,Comoros,COM,869595
"Population, total",SP.POP.TOTL,"Congo, Dem. Rep.",COD,89561404
"Population, total",SP.POP.TOTL,"Congo, Rep.",COG,5518092
"Population, total",SP.POP.TOTL,Costa Rica,CRI,5094114
"Population, total",SP.POP.TOTL,Cote d'Ivoire,CIV,26378275
"Population, total",SP.POP.TOTL,Croatia,HRV,4047200
"Population, total",SP.POP.TOTL,Cuba,CUB,11326616
"Population, total",SP.POP.TOTL,Curacao,CUW,155014
"Population, total",SP.POP.TOTL,Cyprus,CYP,1207361
"Population, total",SP.POP.TOTL,Czech Republic,CZE,10698896
"Population, total",SP.POP.TOTL,Denmark,DNK,5831404
"Population, total",SP.POP.TOTL,Djibouti,DJI,988002
"Population, total",SP.POP.TOTL,Dominica,DMA,71991
"Population, total",SP.POP.TOTL,Dominican Republic,DOM,10847904
"Population, total",SP.POP.TOTL,Early-demographic dividend,EAR,3332105361
"Population, total",SP.POP.TOTL,East Asia & Pacific,EAS,2352037717
"Population, total",SP.POP.TOTL,East Asia & Pacific (excluding high income),EAP,2105003391
"Population, total",SP.POP.TOTL,East Asia & Pacific (IDA & IBRD countries),TEA,2079198305
"Population, total",SP.POP.TOTL,Ecuador,ECU,17643060
"Population, total",SP.POP.TOTL,"Egypt, Arab Rep.",EGY,102334403
"Population, total",SP.POP.TOTL,El Salvador,SLV,6486201
"Population, total",SP.POP.TOTL,Equatorial Guinea,GNQ,1402985
"Population, total",SP.POP.TOTL,Eritrea,ERI,..
"Population, total",SP.POP.TOTL,Estonia,EST,1331057
"Population, total",SP.POP.TOTL,Eswatini,SWZ,1160164
"Population, total",SP.POP.TOTL,Ethiopia,ETH,114963583
"Population, total",SP.POP.TOTL,Euro area,EMU,342949773
"Population, total",SP.POP.TOTL,Europe & Central Asia,ECS,923489941
"Population, total",SP.POP.TOTL,Europe & Central Asia (excluding high income),ECA,420249459
"Population, total",SP.POP.TOTL,Europe & Central Asia (IDA & IBRD countries),TEC,462247461
"Population, total",SP.POP.TOTL,European Union,EUU,447794691
"Population, total",SP.POP.TOTL,Faroe Islands,FRO,48865
"Population, total",SP.POP.TOTL,Fiji,FJI,896444
"Population, total",SP.POP.TOTL,Finland,FIN,5530719
"Population, total",SP.POP.TOTL,Fragile and conflict affected situations,FCS,816719510
"Population, total",SP.POP.TOTL,France,FRA,67391582
"Population, total",SP.POP.TOTL,French Polynesia,PYF,280904
"Population, total",SP.POP.TOTL,Gabon,GAB,2225728
"Population, total",SP.POP.TOTL,"Gambia, The",GMB,2416664
"Population, total",SP.POP.TOTL,Georgia,GEO,3714000
"Population, total",SP.POP.TOTL,Germany,DEU,83240525
"Population, total",SP.POP.TOTL,Ghana,GHA,31072945
"Population, total",SP.POP.TOTL,Gibraltar,GIB,33691
"Population, total",SP.POP.TOTL,Greece,GRC,10715549
"Population, total",SP.POP.TOTL,Greenland,GRL,56367
"Population, total",SP.POP.TOTL,Grenada,GRD,112519
"Population, total",SP.POP.TOTL,Guam,GUM,168783
"Population, total",SP.POP.TOTL,Guatemala,GTM,16858333
"Population, total",SP.POP.TOTL,Guinea,GIN,13132792
"Population, total",SP.POP.TOTL,Guinea-Bissau,GNB,1967998
"Population, total",SP.POP.TOTL,Guyana,GUY,786559
"Population, total",SP.POP.TOTL,Haiti,HTI,11402533
"Population, total",SP.POP.TOTL,Heavily indebted poor countries (HIPC),HPC,823480038
"Population, total",SP.POP.TOTL,High income,HIC,1214930230
"Population, total",SP.POP.TOTL,Honduras,HND,9904608
"Population, total",SP.POP.TOTL,"Hong Kong SAR, China",HKG,7481800
"Population, total",SP.POP.TOTL,Hungary,HUN,9749763
"Population, total",SP.POP.TOTL,IBRD only,IBD,4853608684
"Population, total",SP.POP.TOTL,Iceland,ISL,366425
"Population, total",SP.POP.TOTL,IDA & IBRD total,IBT,6562212357
"Population, total",SP.POP.TOTL,IDA blend,IDB,574159138
"Population, total",SP.POP.TOTL,IDA only,IDX,1134444535
"Population, total",SP.POP.TOTL,IDA total,IDA,1708603673
"Population, total",SP.POP.TOTL,India,IND,1380004385
"Population, total",SP.POP.TOTL,Indonesia,IDN,273523621
"Population, total",SP.POP.TOTL,"Iran, Islamic Rep.",IRN,83992953
"Population, total",SP.POP.TOTL,Iraq,IRQ,40222503
"Population, total",SP.POP.TOTL,Ireland,IRL,4994724
"Population, total",SP.POP.TOTL,Isle of Man,IMN,85032
"Population, total",SP.POP.TOTL,Israel,ISR,9216900
"Population, total",SP.POP.TOTL,Italy,ITA,59554023
"Population, total",SP.POP.TOTL,Jamaica,JAM,2961161
"Population, total",SP.POP.TOTL,Japan,JPN,125836021
"Population, total",SP.POP.TOTL,Jordan,JOR,10203140
"Population, total",SP.POP.TOTL,Kazakhstan,KAZ,18754440
"Population, total",SP.POP.TOTL,Kenya,KEN,53771300
"Population, total",SP.POP.TOTL,Kiribati,KIR,119446
"Population, total",SP.POP.TOTL,"Korea, Dem. People's Rep.",PRK,25778815
"Population, total",SP.POP.TOTL,"Korea, Rep.",KOR,51780579
"Population, total",SP.POP.TOTL,Kosovo,XKX,1775378
"Population, total",SP.POP.TOTL,Kuwait,KWT,4270563
"Population, total",SP.POP.TOTL,Kyrgyz Republic,KGZ,6591600
"Population, total",SP.POP.TOTL,Lao PDR,LAO,7275556
"Population, total",SP.POP.TOTL,Late-demographic dividend,LTE,2307887395
"Population, total",SP.POP.TOTL,Latin America & Caribbean,LCN,652276325
"Population, total",SP.POP.TOTL,Latin America & Caribbean (excluding high income),LAC,623678909
"Population, total",SP.POP.TOTL,Latin America & the Caribbean (IDA & IBRD countries),TLA,636492840
"Population, total",SP.POP.TOTL,Latvia,LVA,1901548
"Population, total",SP.POP.TOTL,Least developed countries: UN classification,LDC,1057438163
"Population, total",SP.POP.TOTL,Lebanon,LBN,6825442
"Population, total",SP.POP.TOTL,Lesotho,LSO,2142252
"Population, total",SP.POP.TOTL,Liberia,LBR,5057677
"Population, total",SP.POP.TOTL,Libya,LBY,6871287
"Population, total",SP.POP.TOTL,Liechtenstein,LIE,38137
"Population, total",SP.POP.TOTL,Lithuania,LTU,2794700
"Population, total",SP.POP.TOTL,Low & middle income,LMY,6537910317
"Population, total",SP.POP.TOTL,Low income,LIC,665149035
"Population, total",SP.POP.TOTL,Lower middle income,LMC,3330652547
"Population, total",SP.POP.TOTL,Luxembourg,LUX,632275
"Population, total",SP.POP.TOTL,"Macao SAR, China",MAC,649342
"Population, total",SP.POP.TOTL,Madagascar,MDG,27691019
"Population, total",SP.POP.TOTL,Malawi,MWI,19129955
"Population, total",SP.POP.TOTL,Malaysia,MYS,32365998
"Population, total",SP.POP.TOTL,Maldives,MDV,540542
"Population, total",SP.POP.TOTL,Mali,MLI,20250834
"Population, total",SP.POP.TOTL,Malta,MLT,525285
"Population, total",SP.POP.TOTL,Marshall Islands,MHL,59194
"Population, total",SP.POP.TOTL,Mauritania,MRT,4649660
"Population, total",SP.POP.TOTL,Mauritius,MUS,1265740
"Population, total",SP.POP.TOTL,Mexico,MEX,128932753
"Population, total",SP.POP.TOTL,"Micronesia, Fed. Sts.",FSM,115021
"Population, total",SP.POP.TOTL,Middle East & North Africa,MEA,464554123
"Population, total",SP.POP.TOTL,Middle East & North Africa (excluding high income),MNA,396147843
"Population, total",SP.POP.TOTL,Middle East & North Africa (IDA & IBRD countries),TMN,391344574
"Population, total",SP.POP.TOTL,Middle income,MIC,5872761282
"Population, total",SP.POP.TOTL,Moldova,MDA,2617820
"Population, total",SP.POP.TOTL,Monaco,MCO,39244
"Population, total",SP.POP.TOTL,Mongolia,MNG,3278292
"Population, total",SP.POP.TOTL,Montenegro,MNE,621718
"Population, total",SP.POP.TOTL,Morocco,MAR,36910558
"Population, total",SP.POP.TOTL,Mozambique,MOZ,31255435
"Population, total",SP.POP.TOTL,Myanmar,MMR,54409794
"Population, total",SP.POP.TOTL,Namibia,NAM,2540916
"Population, total",SP.POP.TOTL,Nauru,NRU,10834
"Population, total",SP.POP.TOTL,Nepal,NPL,29136808
"Population, total",SP.POP.TOTL,Netherlands,NLD,17441139
"Population, total",SP.POP.TOTL,New Caledonia,NCL,271960
"Population, total",SP.POP.TOTL,New Zealand,NZL,5084300
"Population, total",SP.POP.TOTL,Nicaragua,NIC,6624554
"Population, total",SP.POP.TOTL,Niger,NER,24206636
"Population, total",SP.POP.TOTL,Nigeria,NGA,206139587
"Population, total",SP.POP.TOTL,North America,NAC,367553264
"Population, total",SP.POP.TOTL,North Macedonia,MKD,2083380
"Population, total",SP.POP.TOTL,Northern Mariana Islands,MNP,57557
"Population, total",SP.POP.TOTL,Norway,NOR,5379475
"Population, total",SP.POP.TOTL,Not classified,INX,..
"Population, total",SP.POP.TOTL,OECD members,OED,1370858752
"Population, total",SP.POP.TOTL,Oman,OMN,5106622
"Population, total",SP.POP.TOTL,Other small states,OSS,31941786
"Population, total",SP.POP.TOTL,Pacific island small states,PSS,2528958
"Population, total",SP.POP.TOTL,Pakistan,PAK,220892331
"Population, total",SP.POP.TOTL,Palau,PLW,18092
"Population, total",SP.POP.TOTL,Panama,PAN,4314768
"Population, total",SP.POP.TOTL,Papua New Guinea,PNG,8947027
"Population, total",SP.POP.TOTL,Paraguay,PRY,7132530
"Population, total",SP.POP.TOTL,Peru,PER,32971846
"Population, total",SP.POP.TOTL,Philippines,PHL,109581085
"Population, total",SP.POP.TOTL,Poland,POL,37950802
"Population, total",SP.POP.TOTL,Portugal,PRT,10305564
"Population, total",SP.POP.TOTL,Post-demographic dividend,PST,1115116448
"Population, total",SP.POP.TOTL,Pre-demographic dividend,PRE,970795671
"Population, total",SP.POP.TOTL,Puerto Rico,PRI,3194034
"Population, total",SP.POP.TOTL,Qatar,QAT,2881060
"Population, total",SP.POP.TOTL,Romania,ROU,19286123
"Population, total",SP.POP.TOTL,Russian Federation,RUS,144104080
"Population, total",SP.POP.TOTL,Rwanda,RWA,12952209
"Population, total",SP.POP.TOTL,Samoa,WSM,198410
"Population, total",SP.POP.TOTL,San Marino,SMR,33938
"Population, total",SP.POP.TOTL,Sao Tome and Principe,STP,219161
"Population, total",SP.POP.TOTL,Saudi Arabia,SAU,34813867
"Population, total",SP.POP.TOTL,Senegal,SEN,16743930
"Population, total",SP.POP.TOTL,Serbia,SRB,6908224
"Population, total",SP.POP.TOTL,Seychelles,SYC,98462
"Population, total",SP.POP.TOTL,Sierra Leone,SLE,7976985
"Population, total",SP.POP.TOTL,Singapore,SGP,5685807
"Population, total",SP.POP.TOTL,Sint Maarten (Dutch part),SXM,40812
"Population, total",SP.POP.TOTL,Slovak Republic,SVK,5458827
"Population, total",SP.POP.TOTL,Slovenia,SVN,2100126
"Population, total",SP.POP.TOTL,Small states,SST,41913035
"Population, total",SP.POP.TOTL,Solomon Islands,SLB,686878
"Population, total",SP.POP.TOTL,Somalia,SOM,15893219
"Population, total",SP.POP.TOTL,South Africa,ZAF,59308690
"Population, total",SP.POP.TOTL,South Asia,SAS,1856882402
"Population, total",SP.POP.TOTL,South Asia (IDA & IBRD),TSA,1856882402
"Population, total",SP.POP.TOTL,South Sudan,SSD,11193729
"Population, total",SP.POP.TOTL,Spain,ESP,47351567
"Population, total",SP.POP.TOTL,Sri Lanka,LKA,21919000
"Population, total",SP.POP.TOTL,St. Kitts and Nevis,KNA,53192
"Population, total",SP.POP.TOTL,St. Lucia,LCA,183629
"Population, total",SP.POP.TOTL,St. Martin (French part),MAF,38659
"Population, total",SP.POP.TOTL,St. Vincent and the Grenadines,VCT,110947
"Population, total",SP.POP.TOTL,Sub-Saharan Africa,SSF,1136046775
"Population, total",SP.POP.TOTL,Sub-Saharan Africa (excluding high income),SSA,1135948313
"Population, total",SP.POP.TOTL,Sub-Saharan Africa (IDA & IBRD countries),TSS,1136046775
"Population, total",SP.POP.TOTL,Sudan,SDN,43849269
"Population, total",SP.POP.TOTL,Suriname,SUR,586634
"Population, total",SP.POP.TOTL,Sweden,SWE,10353442
"Population, total",SP.POP.TOTL,Switzerland,CHE,8636896
"Population, total",SP.POP.TOTL,Syrian Arab Republic,SYR,17500657
"Population, total",SP.POP.TOTL,Tajikistan,TJK,9537642
"Population, total",SP.POP.TOTL,Tanzania,TZA,59734213
"Population, total",SP.POP.TOTL,Thailand,THA,69799978
"Population, total",SP.POP.TOTL,Timor-Leste,TLS,1318442
"Population, total",SP.POP.TOTL,Togo,TGO,8278737
"Population, total",SP.POP.TOTL,Tonga,TON,105697
"Population, total",SP.POP.TOTL,Trinidad and Tobago,TTO,1399491
"Population, total",SP.POP.TOTL,Tunisia,TUN,11818618
"Population, total",SP.POP.TOTL,Turkey,TUR,84339067
"Population, total",SP.POP.TOTL,Turkmenistan,TKM,6031187
"Population, total",SP.POP.TOTL,Turks and Caicos Islands,TCA,38718
"Population, total",SP.POP.TOTL,Tuvalu,TUV,11792
"Population, total",SP.POP.TOTL,Uganda,UGA,45741000
"Population, total",SP.POP.TOTL,Ukraine,UKR,44134693
"Population, total",SP.POP.TOTL,United Arab Emirates,ARE,9890400
"Population, total",SP.POP.TOTL,United Kingdom,GBR,67215293
"Population, total",SP.POP.TOTL,United States,USA,329484123
"Population, total",SP.POP.TOTL,Upper middle income,UMC,2542108735
"Population, total",SP.POP.TOTL,Uruguay,URY,3473727
"Population, total",SP.POP.TOTL,Uzbekistan,UZB,34232050
"Population, total",SP.POP.TOTL,Vanuatu,VUT,307150
"Population, total",SP.POP.TOTL,"Venezuela, RB",VEN,28435943
"Population, total",SP.POP.TOTL,Vietnam,VNM,97338583
"Population, total",SP.POP.TOTL,Virgin Islands (U.S.),VIR,106290
"Population, total",SP.POP.TOTL,West Bank and Gaza,PSE,4803269
"Population, total",SP.POP.TOTL,World,WLD,7752840547
"Population, total",SP.POP.TOTL,"Yemen, Rep.",YEM,29825968
"Population, total",SP.POP.TOTL,Zambia,ZMB,18383956
"Population, total",SP.POP.TOTL,Zimbabwe,ZWE,14862927
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 06/30/2021,,,,
